thing_1-num_inv;filename_thumbnail;thing_2-creator;thing_3-assigned;art_7-artwork_descriptive_type;art_8-artwork_unicity_type;event_1-artwork_creation;T9;art_16_artwork_dimension;Description photographic process;org_2-institution_name;Current_localisation;Storage_localisation
9915;009915.jpg;LIPPMANN Gabriel;sans titre;Photographie positif verre polychrome;original;1891-1899;entre 1891 et 1899;image_cm_7x11.2;"photographie interférentielle
Procédé interférentiel - Lippmann
prisme de verre";Elysée;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51
9916;009916.jpg;LIPPMANN Gabriel;Fontainebleau.;Photographie positif verre polychrome;original;1891-1899;entre 1891 et 1899;image_cm_9x12;"photographie interférentielle
Procédé interférentiel - Lippmann
prisme de verre";Elysée;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51
9917;009917.jpg;LIPPMANN Gabriel;Sans titre;Photographie positif verre polychrome;original;1891-1899;entre 1891 et 1899;image_cm_12x9.1;"photographie interférentielle
Procédé interférentiel - Lippmann
prisme de verre";Elysée;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51
9918;009918.jpg;LIPPMANN Gabriel;Fontainebleau;Photographie positif verre polychrome;original;1891-1899;entre 1891 et 1899;image_cm_12x9;"photographie interférentielle
Procédé interférentiel - Lippmann
prisme de verre";Elysée;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51
9919;009919.jpg;LIPPMANN Gabriel;Sans titre;Photographie positif verre polychrome;original;1891-1899;entre 1891 et 1899;image_cm_8.5x8.7;"photographie interférentielle
Procédé interférentiel - Lippmann
prisme de verre";Elysée;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 52;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51
9920;009920.jpg;LIPPMANN Gabriel;Venise.;Photographie positif verre polychrome;original;1891-1899;entre 1891 et 1899;image_cm_8.5x8.5;"photographie interférentielle
Procédé interférentiel - Lippmann
prisme de verre";Elysée;Sorti pour expo Lippmann / Boite 2;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51
9921;009921.jpg;LIPPMANN Gabriel;Venise;Photographie positif verre polychrome;original;1891-1899;entre 1891 et 1899;image_cm_8.5x8.5;"photographie interférentielle
Procédé interférentiel - Lippmann
prisme de verre";Elysée;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51
9922;009922.jpg;LIPPMANN Gabriel;Soleil couchant et glacier;Photographie positif verre polychrome;original;1891-1899;entre 1891 et 1899;image_cm_9.4x9.3;"photographie interférentielle
Procédé interférentiel - Lippmann
prisme de verre";Elysée;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51
9923;009923.jpg;LIPPMANN Gabriel;Sans titre;Photographie positif verre polychrome;original;1891-1899;entre 1891 et 1899;image_cm_8.4x8.7;"photographie interférentielle
Procédé interférentiel - Lippmann
prisme de verre";Elysée;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51
9924;009924.jpg;LIPPMANN Gabriel;Sans titre;Photographie positif verre polychrome;original;1891-1899;entre 1891 et 1899;image_cm_8.5x8.5;"photographie interférentielle
Procédé interférentiel - Lippmann
prisme de verre";Elysée;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51
9925;009925.jpg;LIPPMANN Gabriel;Chougny Genève;Photographie positif verre polychrome;original;1891-1899;entre 1891 et 1899;image_cm_9.3x9.3;"photographie interférentielle
Procédé interférentiel - Lippmann
prisme de verre";Elysée;Sorti pour expo Lippmann / Boite 2;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51
9926;009926.jpg;LIPPMANN Gabriel;Venise;Photographie positif verre polychrome;original;1891-1899;entre 1891 et 1899;image_cm_8.7x8.4;"photographie interférentielle
Procédé interférentiel - Lippmann
prisme de verre";Elysée;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51
9927;009927.jpg;LIPPMANN Gabriel;Sans titre;Photographie positif verre polychrome;original;1891-1899;entre 1891 et 1899;image_cm_8.5x8.5;"photographie interférentielle
Procédé interférentiel - Lippmann
prisme de verre";Elysée;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51
9928;009928.jpg;LIPPMANN Gabriel;Venise;Photographie positif verre polychrome;original;1891-1899;entre 1891 et 1899;image_cm_8.6x8.5;"photographie interférentielle
Procédé interférentiel - Lippmann
prisme de verre";Elysée;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51
9929;009929.jpg;LIPPMANN Gabriel;Venise;Photographie positif verre polychrome;original;1891-1899;entre 1891 et 1899;image_cm_8.8x8.5;"photographie interférentielle
Procédé interférentiel - Lippmann
prisme de verre";Elysée;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51
9930;009930.jpg;LIPPMANN Gabriel;Venise.;Photographie positif verre polychrome;original;1891-1899;entre 1891 et 1899;image_cm_8.6x8.4;"photographie interférentielle
Procédé interférentiel - Lippmann
prisme de verre";Elysée;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51
9931;009931.jpg;LIPPMANN Gabriel;Venise.;Photographie positif verre polychrome;original;1891-1899;entre 1891 et 1899;image_cm_8.7x8.7;"photographie interférentielle
Procédé interférentiel - Lippmann
prisme de verre";Elysée;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51
9932;009932.jpg;LIPPMANN Gabriel;Venise.;Photographie positif verre polychrome;original;1891-1899;entre 1891 et 1899;image_cm_8.5x8.5;"photographie interférentielle
Procédé interférentiel - Lippmann
prisme de verre";Elysée;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51
9933;009933.jpg;LIPPMANN Gabriel;Venise. canal;Photographie positif verre polychrome;original;1891-1899;entre 1891 et 1899;image_cm_8.5x8.6;"photographie interférentielle
Procédé interférentiel - Lippmann
prisme de verre";Elysée;Sorti pour expo Lippmann / Boite 1;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51
9934;009934.jpg;LIPPMANN Gabriel;Venise.;Photographie positif verre polychrome;original;1891-1899;entre 1891 et 1899;image_cm_8.5x8.4;"photographie interférentielle
Procédé interférentiel - Lippmann
prisme de verre";Elysée;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51
9935;009935.jpg;LIPPMANN Gabriel;Venise.;Photographie positif verre polychrome;original;1891-1899;entre 1891 et 1899;image_cm_8.5x8.5;"photographie interférentielle
Procédé interférentiel - Lippmann
prisme de verre";Elysée;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51
9936;009936.jpg;LIPPMANN Gabriel;Venise.;Photographie positif verre polychrome;original;1891-1899;entre 1891 et 1899;image_cm_8.5x8.4;"photographie interférentielle
Procédé interférentiel - Lippmann
prisme de verre";Elysée;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51
9937;009937.jpg;LIPPMANN Gabriel;Fontainebleau;Photographie positif verre polychrome;original;1891-1899;entre 1891 et 1899;image_cm_11.9x9;"photographie interférentielle
Procédé interférentiel - Lippmann
prisme de verre";Elysée;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51
9938;009938.jpg;LIPPMANN Gabriel;Fontainebleau;Photographie positif verre polychrome;original;1891-1899;entre 1891 et 1899;image_cm_11.9x9;"photographie interférentielle
Procédé interférentiel - Lippmann
prisme de verre";Elysée;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51
9939;009939.jpg;LIPPMANN Gabriel;Fontainebleau;Photographie positif verre polychrome;original;1891-1899;entre 1891 et 1899;image_cm_12x9;"photographie interférentielle
Procédé interférentiel - Lippmann
prisme de verre";Elysée;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51
9940;009940.jpg;LIPPMANN Gabriel;Fontainbleau;Photographie positif verre polychrome;original;1891-1899;entre 1891 et 1899;image_cm_12x9;"photographie interférentielle
Procédé interférentiel - Lippmann
prisme de verre";Elysée;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51
9941;009941.jpg;LIPPMANN Gabriel;Fontainebleau;Photographie positif verre polychrome;original;1891-1899;entre 1891 et 1899;image_cm_11.9x9;"photographie interférentielle
Procédé interférentiel - Lippmann
prisme de verre";Elysée;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51
9942;009942.jpg;LIPPMANN Gabriel;Chalet à Saas Fee;Photographie positif verre polychrome;original;1891-1899;entre 1891 et 1899;image_cm_9.3x9.3;"photographie interférentielle
Procédé interférentiel - Lippmann
prisme de verre";Elysée;Sorti pour expo Lippmann / Boite 1;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51
9943;009943.jpg;LIPPMANN Gabriel;Sans titre;Photographie positif verre polychrome;original;1891-1899;;image_cm_8.6x8.5;"photographie interférentielle
Procédé interférentiel - Lippmann
prisme de verre";Elysée;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51
9944;009944.jpg;LIPPMANN Gabriel;Sans titre;Photographie positif verre polychrome;original;1891-1899;entre 1891 et 1899;image_cm_8.6x8.6;"photographie interférentielle
Procédé interférentiel - Lippmann
prisme de verre";Elysée;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51
9945;009945.jpg;LIPPMANN Gabriel;Sans titre;Photographie positif verre polychrome;original;1891-1899;entre 1891 et 1899;image_cm_9.3x9.4;"photographie interférentielle
Procédé interférentiel - Lippmann
prisme de verre";Elysée;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51
9946;009946.jpg;LIPPMANN Gabriel;Sans titre;Photographie positif verre polychrome;original;1891-1899;entre 1891 et 1899;image_cm_8.7x8.5;"photographie interférentielle
Procédé interférentiel - Lippmann
prisme de verre";Elysée;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51
9947;009947.jpg;LIPPMANN Gabriel;Sans titre;Photographie positif verre polychrome;original;1891-1899;entre 1891 et 1899;image_cm_8.5x8.6;"photographie interférentielle
Procédé interférentiel - Lippmann
prisme de verre";Elysée;Sorti pour expo Lippmann / Boite 1;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51
9948;009948.jpg;LIPPMANN Gabriel;Sans titre;Photographie positif verre polychrome;original;1891-1899;entre 1891 et 1899;image_cm_9.1x9.4;"photographie interférentielle
Procédé interférentiel - Lippmann
prisme de verre";Elysée;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51
9949;009949.jpg;LIPPMANN Gabriel;Sans titre;Photographie positif verre polychrome;original;1891-1899;entre 1891 et 1899;image_cm_8.7x8.6;"photographie interférentielle
Procédé interférentiel - Lippmann
prisme de verre";Elysée;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51
9950;009950.jpg;LIPPMANN Gabriel;Saas Fee;Photographie positif verre polychrome;original;1891-1899;entre 1891 et 1899;image_cm_8.4x8.6;"photographie interférentielle
Procédé interférentiel - Lippmann
prisme de verre";Elysée;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51
9951;009951.jpg;LIPPMANN Gabriel;Saas Fee. Valais;Photographie positif verre polychrome;original;1891-1899;entre 1891 et 1899;image_cm_8.7x8.6;"photographie interférentielle
Procédé interférentiel - Lippmann
prisme de verre";Elysée;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51
9952;009952.jpg;LIPPMANN Gabriel;Village de Saas Fee. Valais;Photographie positif verre polychrome;original;1891-1899;entre 1891 et 1899;image_cm_12x9;"photographie interférentielle
Procédé interférentiel - Lippmann
prisme de verre";Elysée;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51
9953;009953.jpg;LIPPMANN Gabriel;Chalet et Paysages;Photographie positif verre polychrome;original;1891-1899;entre 1891 et 1899;image_cm_9.4x9.3;"photographie interférentielle
Procédé interférentiel - Lippmann
prisme de verre";Elysée;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51
9954;009954.jpg;LIPPMANN Gabriel;Sans titre;Photographie positif verre polychrome;original;1891-1899;entre 1891 et 1899;image_cm_12x8.9;"photographie interférentielle
Procédé interférentiel - Lippmann
prisme de verre";Elysée;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51
9955;009955.jpg;LIPPMANN Gabriel;Clarens.;Photographie positif verre polychrome;original;1891-1899;entre 1891 et 1899;image_cm_9.2x8.8;"photographie interférentielle
Procédé interférentiel - Lippmann
prisme de verre";Elysée;Sorti pour expo Lippmann / Boite 1 /pour film JB Roumens;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51
9956;009956.jpg;LIPPMANN Gabriel;Porquerolles Midi;Photographie positif verre polychrome;original;1891-1899;entre 1891 et 1899;image_cm_9.4x9.3;"photographie interférentielle
Procédé interférentiel - Lippmann
prisme de verre";Elysée;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51
9957;009957.jpg;LIPPMANN Gabriel;Saint Jean de Luze;Photographie positif verre polychrome;original;1891-1899;entre 1891 et 1899;image_cm_8.5x8.5;"photographie interférentielle
Procédé interférentiel - Lippmann
prisme de verre";Elysée;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51
9958;009958.jpg;LIPPMANN Gabriel;Sans titre;Photographie positif verre polychrome;original;1891-1899;entre 1891 et 1899;image_cm_8.5x8.5;"photographie interférentielle
Procédé interférentiel - Lippmann
prisme de verre";Elysée;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51
9959;009959.jpg;LIPPMANN Gabriel;Sans titre;Photographie positif verre polychrome;original;1891-1899;entre 1891 et 1899;image_cm_8.6x8.8;"photographie interférentielle
Procédé interférentiel - Lippmann
prisme de verre";Elysée;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51
9960;009960.jpg;LIPPMANN Gabriel;Sans titre;Photographie positif verre polychrome;original;1891-1899;entre 1891 et 1899;image_cm_8.5x 9;"photographie interférentielle
Procédé interférentiel - Lippmann
prisme de verre";Elysée;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51
9961;009961.jpg;LIPPMANN Gabriel;Sans titre;Photographie positif verre polychrome;original;1891-1899;entre 1891 et 1899;image_cm_9.2x9.3;"photographie interférentielle
Procédé interférentiel - Lippmann
prisme de verre";Elysée;Sorti pour expo Lippmann / Boite 1;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51
9962;009962.jpg;LIPPMANN Gabriel;Sans titre;Photographie positif verre polychrome;original;1891-1899;entre 1891 et 1899;image_cm_9.3x9.4;"photographie interférentielle
Procédé interférentiel - Lippmann
prisme de verre";Elysée;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51
9963;009963.jpg;LIPPMANN Gabriel;Fleurs;Photographie positif verre polychrome;original;1891-1899;entre 1891 et 1899;image_cm_8.5x8.5;"photographie interférentielle
Procédé interférentiel - Lippmann
prisme de verre";Elysée;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51
9964;009964.jpg;LIPPMANN Gabriel;Sans titre;Photographie positif verre polychrome;original;1891-1899;entre 1891 et 1899;image_cm_8.5x8.5;"photographie interférentielle
Procédé interférentiel - Lippmann
prisme de verre";Elysée;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51
9965;009965.jpg;LIPPMANN Gabriel;Sans titre;Photographie positif verre polychrome;original;1891-1899;entre 1891 et 1899;image_cm_8.9x8.7;"photographie interférentielle
Procédé interférentiel - Lippmann
prisme de verre";Elysée;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 52;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51
9966;009966.jpg;LIPPMANN Gabriel;Sans titre;Photographie positif verre polychrome;original;1891-1899;entre 1891 et 1899;image_cm_8.5x8.5;"photographie interférentielle
Procédé interférentiel - Lippmann
prisme de verre";Elysée;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51
9967;009967.jpg;LIPPMANN Gabriel;Sans titre;Photographie positif verre polychrome;original;1891-1899;entre 1891 et 1899;image_cm_9.2x9.2;"photographie interférentielle
Procédé interférentiel - Lippmann
prisme de verre";Elysée;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51
9968;009968.jpg;LIPPMANN Gabriel;Sans titre;Photographie positif verre polychrome;original;1891-1899;entre 1891 et 1899;image_cm_8.5x8.5;"photographie interférentielle
Procédé interférentiel - Lippmann
prisme de verre";Elysée;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51
9969;009969.jpg;LIPPMANN Gabriel;Pêches;Photographie positif verre polychrome;original;1891-1899;entre 1891 et 1899;image_cm_8.5x8.3;"photographie interférentielle
Procédé interférentiel - Lippmann
prisme de verre";Elysée;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51
9970;009970.jpg;LIPPMANN Gabriel;Fleurs;Photographie positif verre polychrome;original;1891-1899;entre 1891 et 1899;image_cm_8.8x8.7;"photographie interférentielle
Procédé interférentiel - Lippmann
prisme de verre";Elysée;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51
9971;009971.jpg;LIPPMANN Gabriel;Nature morte;Photographie positif verre polychrome;original;1891-1899;entre 1891 et 1899;image_cm_9.4x9.3;"photographie interférentielle
Procédé interférentiel - Lippmann
prisme de verre";Elysée;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51
9972;009972.jpg;LIPPMANN Gabriel;Sans titre;Photographie positif verre polychrome;original;1891-1899;entre 1891 et 1899;image_cm_8.8x8.8;"photographie interférentielle
Procédé interférentiel - Lippmann
prisme de verre";Elysée;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51
9973;009973.jpg;LIPPMANN Gabriel;Sans titre;Photographie positif verre polychrome;original;1891-1899;entre 1891 et 1899;image_cm_9.9x9.8;"photographie interférentielle
Procédé interférentiel - Lippmann
prisme de verre";Elysée;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51
9974;009974.jpg;LIPPMANN Gabriel;Sans titre;Photographie positif verre polychrome;original;1891-1899;entre 1891 et 1899;image_cm_8.9x8.7;"photographie interférentielle
Procédé interférentiel - Lippmann
prisme de verre";Elysée;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51
9975;009975.jpg;LIPPMANN Gabriel;Sans titre;Photographie positif verre polychrome;original;1891-1899;entre 1891 et 1899;image_cm_9.8x9.4;"photographie interférentielle
Procédé interférentiel - Lippmann
prisme de verre";Elysée;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 52;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51
9976;009976.jpg;LIPPMANN Gabriel;Sans titre;Photographie positif verre polychrome;original;1891-1899;entre 1891 et 1899;image_cm_8.6x8.7;"photographie interférentielle
Procédé interférentiel - Lippmann
prisme de verre";Elysée;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51
9977;009977.jpg;LIPPMANN Gabriel;Sans titre;Photographie positif verre polychrome;original;1891-1899;entre 1891 et 1899;image_cm_9.3x9.4;"photographie interférentielle
Procédé interférentiel - Lippmann
prisme de verre";Elysée;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51;Musée de l'Elysée. Réserve 23, rangée AA98 (Etagères). Travée 51
